albedo_5_1,albedo_5_2,albedo_5_3,albedo_5_4,albedo_5_5,albedo_5_6,albedo_5_7,albedo_5_8,albedo_5_9,albedo_5_10,albedo_5_11,albedo_5_12,albedo_5_13,albedo_5_14,albedo_5_15,albedo_5_16,albedo_5_17,albedo_5_18,albedo_5_19,albedo_5_20,albedo_5_21,albedo_5_22,albedo_5_23,albedo_5_24,albedo_6_1,albedo_6_2,albedo_6_3,albedo_6_4,albedo_6_5,albedo_6_6,albedo_6_7,albedo_6_8,albedo_6_9,albedo_6_10,albedo_6_11,albedo_6_12,albedo_6_13,albedo_6_14,albedo_6_15,albedo_6_16,albedo_6_17,albedo_6_18,albedo_6_19,albedo_6_20,albedo_6_21,albedo_6_22,albedo_6_23,albedo_6_24,tbb_7_1,tbb_7_2,tbb_7_3,tbb_7_4,tbb_7_5,tbb_7_6,tbb_7_7,tbb_7_8,tbb_7_9,tbb_7_10,tbb_7_11,tbb_7_12,tbb_7_13,tbb_7_14,tbb_7_15,tbb_7_16,tbb_7_17,tbb_7_18,tbb_7_19,tbb_7_20,tbb_7_21,tbb_7_22,tbb_7_23,tbb_7_24,tbb_11_1,tbb_11_2,tbb_11_3,tbb_11_4,tbb_11_5,tbb_11_6,tbb_11_7,tbb_11_8,tbb_11_9,tbb_11_10,tbb_11_11,tbb_11_12,tbb_11_13,tbb_11_14,tbb_11_15,tbb_11_16,tbb_11_17,tbb_11_18,tbb_11_19,tbb_11_20,tbb_11_21,tbb_11_22,tbb_11_23,tbb_11_24,tbb_12_1,tbb_12_2,tbb_12_3,tbb_12_4,tbb_12_5,tbb_12_6,tbb_12_7,tbb_12_8,tbb_12_9,tbb_12_10,tbb_12_11,tbb_12_12,tbb_12_13,tbb_12_14,tbb_12_15,tbb_12_16,tbb_12_17,tbb_12_18,tbb_12_19,tbb_12_20,tbb_12_21,tbb_12_22,tbb_12_23,tbb_12_24,tbb_13_1,tbb_13_2,tbb_13_3,tbb_13_4,tbb_13_5,tbb_13_6,tbb_13_7,tbb_13_8,tbb_13_9,tbb_13_10,tbb_13_11,tbb_13_12,tbb_13_13,tbb_13_14,tbb_13_15,tbb_13_16,tbb_13_17,tbb_13_18,tbb_13_19,tbb_13_20,tbb_13_21,tbb_13_22,tbb_13_23,tbb_13_24,label
0.057499997,0.044299997,296.44998,285.16998,266.6,287.50998,0.010799999,0.0078,293.87,286.56,267.57,289.02,0.021,0.009,292.16,284.71,265.93,286.72998,0.1055,0.076699995,284.21,266.97,253.89,269.6,0.145,0.100099996,273.72,256.16,245.90999,258.34,0.14919999,0.104899995,272.44,255.78,245.67,257.6,0.0479,0.0336,296.12,286.47998,267.61,288.88,0.0425,0.025799999,295.59,286.41998,267.5,288.86,0.0162,0.0084,291.63998,284.38,266.18,286.97998,0.0497,0.031799998,292.91998,282.13998,264.21,284.06,0.12109999,0.093499996,284.27,263.11,251.7,265.91998,0.1498,0.1043,273.44998,256.16,245.81,258.03,0.0695,0.0491,296.63,285.11,266.49,287.15,0.0222,0.0132,292.53998,285.06,266.69998,287.66998,0.021,0.011399999,289.49,283.61,265.36,286.13998,0.0941,0.083299994,292.88,274.25,259.3,276.53,0.104899995,0.0887,290.06,268.91998,256.0,271.27,0.1504,0.103099994,274.75998,256.12,245.81,258.38,0.0515,0.042,295.85,284.08,266.11,286.44998,0.018,0.0084,291.55,285.3,266.35,287.59,0.044299997,0.028199999,285.94998,280.05,262.63998,282.15,0.1139,0.106699996,290.38,266.00998,254.14,269.03,0.1205,0.10789999,290.61,266.47998,253.51,268.62,0.1468,0.1019,275.59,256.25,246.0,258.11,hujan deras
0.0449,0.0378,296.15,284.02,265.54,286.19,0.0162,0.012,290.28998,283.53,265.4,286.08,0.093499996,0.0761,286.91,269.5,256.04,272.29,0.17199999,0.122899994,277.16998,256.71,246.32999,258.91998,0.175,0.1187,274.75998,256.16,245.86,257.91,0.1732,0.118099995,275.18,255.81999,245.70999,257.68,0.0641,0.0497,296.78,285.52,266.97998,288.34,0.0479,0.033,296.0,286.32,267.5,288.8,0.0144,0.009,291.37,284.46,266.21,286.87,0.0234,0.0198,290.15,282.05,265.18,284.15,0.1648,0.1241,279.09,255.69,247.04,258.61,0.181,0.1223,275.00998,255.90999,245.81,257.72,0.0312,0.0174,296.22998,287.87,268.54,290.11,0.0863,0.059299998,295.93,284.27,266.04,287.03,0.0264,0.0198,292.24,283.94,265.97,286.72998,0.0665,0.050899997,293.16998,279.69998,262.94,282.21,0.139,0.1109,286.69998,262.01,251.18,264.85,0.16059999,0.1157,275.25998,255.98999,245.90999,257.87,0.0725,0.053299997,297.21,283.75,265.43,285.88,0.022799999,0.0162,294.19,286.78998,267.99,289.28998,0.024,0.0168,291.02,284.11,265.93,286.62,0.096499994,0.0809,294.69998,275.75,260.5,278.13998,0.0989,0.0893,294.5,272.72,258.52,275.18,0.1768,0.1235,276.08,255.69,245.70999,257.72,hujan deras
0.0581,0.046699997,297.32,282.44,264.47,284.12,0.0264,0.019199999,293.62,283.8,265.33,286.13998,0.184,0.1354,279.22998,256.08,246.29,259.22998,0.1936,0.13599999,276.94,256.46,246.09999,258.34,0.1942,0.139,277.78,256.16,245.90999,258.03,0.1954,0.13239999,276.87,256.08,245.81,257.91,0.039,0.029399998,296.6,286.74,267.78,289.37,0.021,0.012,294.38998,286.4,267.63998,288.8,0.021599999,0.009,290.28998,284.49,266.0,286.41998,0.1522,0.1175,286.22,262.5,251.44,265.69998,0.19,0.1366,277.4,256.19998,246.04999,258.11,0.1972,0.1366,277.55,256.25,245.86,258.07,0.0569,0.031799998,295.85,287.24,268.16,289.78,0.089899994,0.0731,297.71,284.41,266.13998,287.09,0.03,0.0186,291.55,283.19998,265.50998,285.69,0.0252,0.011399999,293.5,284.62,266.53,287.06,0.1786,0.1312,282.35,257.91998,247.14,260.18,0.2026,0.14019999,277.33,256.33,246.0,258.11,0.030599998,0.0186,295.63,287.91998,268.63998,290.27,0.0563,0.040799998,296.41,286.66,267.75,289.13,0.0425,0.0276,292.78998,283.75,265.9,286.5,0.0761,0.061699998,295.69998,280.16998,263.63,282.85,0.12879999,0.1109,292.53998,267.25998,254.31,269.63998,0.2008,0.1396,277.78,256.25,245.95,258.19,hujan deras
0.124699995,0.1091,296.0,271.15,257.21,273.62,0.1546,0.13419999,293.66,265.25,252.87,268.28,0.22109999,0.1522,279.16,256.88,246.23999,258.65,0.21689999,0.1528,281.19998,256.79,246.32999,258.65,0.2175,0.1546,282.47,256.71,246.29,258.72998,0.2253,0.15339999,279.93,256.41,246.04999,258.26,0.0186,0.0144,295.16998,286.58,267.94998,288.99,0.0095999995,0.006,294.9,287.41998,268.54,289.62,0.13059999,0.1043,290.61,268.82,255.54999,271.4,0.2163,0.1528,279.86,256.29,246.14,258.53,0.2181,0.1558,281.46,256.66998,246.32999,258.57,0.21689999,0.1528,281.13,256.75,246.37999,258.72998,0.067099996,0.0402,297.78,287.41998,268.16,289.78,0.0198,0.012,295.78,287.61,268.4,289.91998,0.024,0.0132,292.41,284.97998,266.84,287.44998,0.14019999,0.109699994,290.97,266.83,254.51999,269.74,0.2193,0.15519999,280.19998,256.41,246.23999,258.41998,0.22109999,0.1564,280.07,256.71,246.23999,258.61,0.0539,0.0372,297.07,287.58,268.25998,289.81,0.0773,0.050899997,297.88998,286.41998,267.63998,288.99,0.0779,0.0587,296.49,284.46,265.97,286.66998,0.0156,0.009,294.15,286.56,267.54,288.41998,0.19,0.14739999,286.91,259.26,248.89,262.02,0.2199,0.1522,280.61,256.71,246.32999,258.69,hujan deras
0.21149999,0.175,293.46,259.5,248.34999,261.63998,0.20439999,0.1618,291.33,259.54,248.56999,261.97998,0.22829999,0.16659999,283.91998,257.5,246.86,259.3,0.24329999,0.17559999,284.03998,257.21,246.70999,259.11,0.2355,0.17019999,285.22998,257.66998,247.09,259.65,0.24329999,0.17019999,283.38998,257.09,246.67,259.04,0.0755,0.0503,296.71,281.0,262.79,282.44,0.0875,0.0605,294.27,277.9,261.56,280.16,0.22649999,0.166,283.15,256.54,246.62,259.0,0.24689999,0.1732,281.84,256.63,246.29,258.53,0.2409,0.1708,283.5,257.09,246.62,259.11,0.2463,0.1714,282.03,256.91998,246.51999,258.91998,0.0725,0.0491,298.13,286.21,267.37,288.69,0.0378,0.019199999,293.33,286.4,267.09,288.5,0.1193,0.0905,293.69998,273.44998,258.88,276.13,0.2403,0.16839999,281.97,256.33,246.0,258.96,0.2403,0.1678,282.6,257.0,246.51999,259.0,0.2463,0.1708,283.21,256.91998,246.51999,258.96,0.0863,0.0587,298.1,287.19,268.02,289.47998,0.0288,0.015,296.6,287.91998,268.47,290.0,0.0431,0.025799999,294.38998,285.68,266.97998,287.97998,0.080299996,0.0635,295.50998,279.06,262.71,280.94,0.22289999,0.16059999,285.22998,258.28,247.09,259.76,0.2547,0.1768,282.22,256.88,246.37999,258.81,hujan deras
0.2163,0.19299999,294.94,259.74,248.79999,261.94,0.2307,0.17799999,289.82,257.87,247.42,260.07,0.2523,0.1822,284.66998,257.13,246.62,258.96,0.2541,0.18699999,287.47,257.63,247.04,259.65,0.2487,0.1804,285.94998,257.96,247.18,259.76,0.2385,0.17379999,285.88998,257.63,247.18,259.61,0.1996,0.1672,294.53998,262.27,250.95999,265.31,0.24929999,0.1804,286.75,257.63,247.09,260.86,0.2463,0.1822,286.16,257.46,246.86,259.41998,0.25349998,0.1858,286.32,257.13,246.62,259.19,0.2553,0.18519999,287.47,257.59,247.09,259.65,0.2679,0.1876,284.09,256.84,246.43,258.77,0.0725,0.0473,296.52,285.65,266.91,287.91998,0.071899995,0.050899997,293.82,280.71,263.56,282.47,0.22049999,0.1678,288.33,259.97998,248.79999,261.63998,0.2601,0.1882,284.38,257.13,246.56999,259.04,0.26729998,0.18519999,283.5,256.84,246.29,258.77,0.2697,0.1858,283.74,256.71,246.43,258.72998,0.0354,0.0246,297.11,287.69,268.47,290.0,0.030599998,0.0174,296.08,287.16,267.99,289.35,0.030599998,0.021599999,295.55,285.19,266.97998,287.19998,0.1882,0.15519999,292.33,263.71,252.31,266.65,0.2667,0.1894,284.44,256.96,246.67,259.19,0.2757,0.19119999,283.33,256.54,246.23999,258.41998,hujan deras
0.23009999,0.199,295.05,259.3,248.76,261.79,0.2505,0.1894,289.91998,257.71,247.14,259.84,0.2499,0.19119999,290.00998,258.04,247.42,260.07,0.24329999,0.19,292.03,259.34,248.39,261.27,0.26369998,0.19299999,288.66998,257.71,247.14,259.69,0.2751,0.19299999,286.69998,257.04,246.76,259.07,0.22649999,0.19,294.35,259.94,249.07999,262.63998,0.2583,0.19299999,288.28,257.3,247.0,259.34,0.24569999,0.1864,290.61,258.53,247.84,260.56,0.2823,0.2032,288.47998,257.41998,246.81,259.46,0.2793,0.199,288.03,257.5,246.95,259.46,0.2769,0.196,288.38,257.79,247.18,259.65,0.0479,0.029399998,295.47,284.13,265.79,286.08,0.23429999,0.184,290.84,259.54,249.07999,262.53,0.2577,0.19119999,289.35,258.41,247.56,260.47998,0.2739,0.1972,289.06,257.66998,247.0,259.88,0.2733,0.19839999,289.53998,257.75,247.28,259.91998,0.2889,0.2032,287.47,257.21,246.67,259.19,0.0312,0.021599999,296.85,287.41998,268.22998,289.59,0.036599997,0.019199999,294.69998,287.32,267.68,289.1,0.139,0.1085,294.58,273.22998,258.37,275.09,0.2619,0.1936,288.72,257.46,247.0,259.94998,0.2805,0.1978,287.93,257.46,246.95,259.5,0.2924,0.2032,286.69998,256.96,246.48,258.91998,hujan deras
0.2331,0.20439999,297.36,261.12,249.79999,263.26,0.2595,0.20019999,292.5,258.94,248.11,261.09,0.2601,0.20619999,293.74,260.1,249.17,262.57,0.27629998,0.2074,291.63998,258.85,248.44,261.22998,0.2769,0.20199999,289.91998,258.37,247.56,260.37,0.299,0.20799999,287.47,257.41998,246.95,259.53,0.23789999,0.1906,294.62,260.65,249.44,262.79,0.29659998,0.2103,287.58,257.41998,246.9,259.41998,0.2877,0.2121,290.61,258.61,247.79,260.66998,0.3026,0.21509999,289.4,257.91998,247.31999,260.07,0.3062,0.2139,288.33,257.71,247.04,259.61,0.3032,0.2074,286.8,257.38,246.81,259.41998,0.19,0.16239999,297.85,267.19,254.01,269.74,0.27989998,0.2056,288.82,257.71,247.14,259.84,0.2739,0.2032,290.78998,258.69,247.84,260.71,0.2996,0.2163,289.44998,258.08,247.31999,260.07,0.3056,0.2121,287.41998,257.25,246.81,259.27,0.302,0.2091,289.00998,258.37,247.37,260.13998,0.1252,0.086899996,298.19998,286.1,267.4,288.58,0.0809,0.0641,295.00998,280.63,263.81,283.11,0.2565,0.1942,291.77,260.65,249.44,263.44998,0.3014,0.21689999,288.38,257.79,247.23,259.91998,0.311,0.2193,286.59,256.96,246.62,259.04,0.31219998,0.2145,286.47998,257.16998,246.62,259.19,hujan deras
0.19119999,0.1774,304.69998,267.33,254.51999,269.91,0.3038,0.2253,292.19998,258.0,247.98,260.63,0.2559,0.2085,300.24,263.86,251.65999,265.94998,0.2996,0.2223,293.69998,258.97998,248.11,261.12,0.2847,0.2085,292.75,259.9,248.89,262.16,0.338,0.2289,287.00998,257.71,247.0,259.57,0.21689999,0.1858,302.38998,265.58,252.95,268.24,0.31219998,0.2295,291.81,258.44998,247.87999,260.63,0.30859998,0.22649999,295.66998,260.37,249.07999,262.46,0.3218,0.22469999,291.63998,258.28,247.65,260.41,0.3128,0.2193,292.33,259.02,248.15999,261.09,0.3044,0.2145,292.63,259.41998,248.44,261.53,0.21689999,0.1792,301.35,266.50998,253.68,269.1,0.3002,0.22049999,292.53998,258.77,248.11,260.97,0.3224,0.2313,292.63,258.69,247.93,261.01,0.31939998,0.22049999,290.74,258.0,247.51,260.26,0.3218,0.22289999,290.65,258.44998,247.56,260.37,0.3242,0.2217,288.66998,258.08,247.31999,259.99,0.059899997,0.034199998,297.13998,286.21,267.47,287.97998,0.2307,0.1828,298.50998,266.3,254.14,269.5,0.29479998,0.21689999,293.91,259.41998,248.67,262.09,0.31039998,0.2259,293.38,258.49,248.01999,260.86,0.3134,0.22049999,291.02,258.12,247.65,260.26,0.31219998,0.2175,289.3,257.91998,247.37,260.07,hujan deras
0.2199,0.1792,305.19,267.82,254.76999,270.13998,0.3152,0.2487,301.1,260.29,249.07999,262.46,0.3014,0.2367,300.43,260.81,249.79999,263.26,0.3338,0.24569999,295.82,258.61,248.01999,260.79,0.3626,0.2565,295.66998,259.06,248.25,261.19998,0.3452,0.2367,297.96,261.27,249.79999,263.3,0.24569999,0.1906,304.59,268.68,255.29999,270.97,0.3446,0.2589,300.66,260.57,249.44,262.9,0.29659998,0.20969999,302.86,266.69,253.62999,268.55,0.35779998,0.2553,295.32,258.24,247.51,260.47998,0.3338,0.23249999,295.85,259.9,248.70999,262.05,0.34759998,0.2409,294.46,259.02,248.15999,261.09,0.2373,0.1894,304.5,266.58,254.01,269.66998,0.332,0.2463,300.5,260.88,249.84,263.81,0.3146,0.2289,301.9,264.15,252.14,266.34,0.3398,0.2445,298.03,259.86,248.84999,262.19998,0.3026,0.2121,299.97998,262.69,250.73999,264.74,0.33319998,0.2373,295.50998,258.85,248.01999,260.97,0.2217,0.166,302.78,274.44,259.46,277.34,0.29299998,0.2253,302.09,263.15,251.26999,265.69998,0.3224,0.2349,298.99,260.53,249.39,262.63998,0.3296,0.23969999,298.41,260.02,248.76,261.97998,0.3398,0.24329999,296.56,258.94,248.15999,261.22998,0.3296,0.22649999,295.63,259.41998,248.25,261.38,tidak hujan
0.3038,0.2355,304.53,262.5,250.56,264.88998,0.326,0.2487,305.33,264.04,251.4,265.81,0.2942,0.2241,305.16998,265.94,253.29999,268.44998,0.3674,0.2613,300.69,259.94,248.67,261.94,0.3692,0.24689999,301.07,261.51,249.93,263.52,0.3721,0.2505,301.63,263.52,251.18,265.63,0.3296,0.24689999,304.53,263.11,251.48,265.94998,0.35959998,0.2613,305.08,266.75998,253.72,268.72,0.3218,0.23009999,303.85,268.82,255.39,270.97,0.3572,0.2565,301.25998,259.9,249.07999,262.61,0.36499998,0.2559,298.78,259.13998,248.34999,261.53,0.3769,0.2619,297.78,259.02,248.01999,261.16,0.29299998,0.2241,304.91998,270.25,256.97,272.84,0.38529998,0.2757,303.38998,260.88,250.01999,263.37,0.3398,0.23609999,303.19,269.27,255.43,271.37,0.3266,0.23009999,302.18,263.52,251.7,265.94998,0.3356,0.2307,300.72,261.43,249.75,263.59,0.36139998,0.2541,298.99,259.34,248.29999,261.46,0.31939998,0.23189999,304.25,264.49,252.56999,267.83,0.3464,0.2529,302.33,260.88,249.98,263.59,0.35959998,0.2589,301.97,260.88,249.56999,263.19,0.34759998,0.2463,301.81,262.04,250.73999,264.35,0.3482,0.2409,302.27,262.46,250.90999,264.91998,0.329,0.2193,300.66,263.3,251.04999,265.21,tidak hujan
0.2589,0.24329999,305.84,267.12,254.39,269.54,0.3242,0.2853,305.82,267.29,254.22,269.37,0.3452,0.2829,304.33,263.52,251.79,266.06,0.3602,0.26729998,302.18,261.85,250.25,264.16998,0.41889998,0.2853,300.11,259.3,248.25,261.22998,0.4039,0.2871,301.53998,260.69,249.62,262.86,0.35599998,0.29119998,304.81,262.38998,250.56,264.96,0.3638,0.2882,304.72998,267.88998,254.43,269.87,0.3584,0.2859,304.22,263.86,251.92,266.50998,0.3733,0.2787,302.03,263.33,251.31,265.41998,0.3698,0.2721,302.18,262.84,251.04999,264.91998,0.41889998,0.2853,300.63,260.02,248.98999,262.27,0.3937,0.296,303.53998,261.16,249.75,263.69998,0.3829,0.3002,304.19,263.18,251.7,265.63,0.3464,0.2667,302.50998,265.22,253.45999,267.62,0.38169998,0.2775,301.41,260.13998,248.89,262.05,0.3931,0.27269998,300.78,259.9,248.79999,262.19998,0.3859,0.26549998,301.50998,262.91998,251.0,264.91998,0.3692,0.29119998,303.8,261.38998,250.2,263.99,0.36319998,0.29659998,304.02,263.66998,251.48,266.06,0.3709,0.27629998,302.33,261.0,249.75,263.34,0.368,0.2757,303.00998,262.81,250.73999,264.85,0.3464,0.2547,301.97,264.12,251.79,266.34,0.3674,0.2565,301.1,263.6,251.31,265.6,tidak hujan
